Value,Type
ОПИСЬ № 1 (продолжение),text
дел постоянного хранения,text
за 2021 год,text
№ Индекс Крайние Кол-во Приме-,text
Заголовок дела,text
п/п дела даты листов чание,text
1 2 3 4 5 6,table
РУКОВОДСТВО,heading
275 01-15 Приказы № 1 общ - 48 общ начальника 11.01.2021- 123,table
УСЗН администрации Еткульского 31.12.2021,text
муниципального района по основной,text
деятельности и документы к ним за январь-,text
декабрь 2021 года,text
276 01-22 План работ УСЗН администрации 2021 18,table
Еткульского муниципального района на,text
2021 год,text
277 01-23 Отчет УСЗН администрации Еткульского 2021 17,text
муниципального района и,text
подведомственных учреждений по итогам,text
работы за 2021 год,text
"278 01-25 Отчеты, доклады с презентациями об 2021 24",text
исполнении муниципальных программ УСЗН,text
администрации Еткульского,text
муниципального района за 2021 год,text
279 01-26 Статистический отчет (ф. № 1-к «О 2021 2,table
"численности, составе и движении",text
"работников, занимающих должности",text
руководителей и специалистов») за 2021 год,text
280 01-32 Муниципальные задания муниципальному 2021 19,text
учреждению «Комплексный центр,text
социального обслуживания населения»,text
Еткульского муниципального района и,text
отчеты об исполнении муниципальных,text
заданий за 2021 год,text
281 01-61 Реестр учета приказов начальника УСЗН 11.01.2021- 3,table
администрации Еткульского 31.12.2021,text
муниципального района по основной,text
деятельности за январь - декабрь 2021 года,text
1 2 3 4 5 6,table
ОТДЕЛ БУХГАЛТЕРСКОГО УЧЕТА,heading
282 02-22 Штатное расписание УСЗН администрации 2021 8,text
Еткульского муниципального района на,text
2021 год и изменения к нему,text
283 02-21 Бюджетная роспись на 2021 год и на 2021 28,table
плановый период 2022 и 2023 годов и,text
изменения к ней,text
284 02-20 Бюджетные сметы расходов УСЗН 2021 307,table
администрации Еткульского,text
муниципального района на 2021 год и,text
изменения к ним,text
285 02-19 Бухгалтерский отчет УСЗН администрации 2021 64,text
Еткульского муниципального района и,text
приложения к нему за 2021 год,text
286 02-18 Статистические отчеты (ф.№1-Т (МС) 2021 92,table
«Сведения о численности и фонде,text
"заработной платы, дополнительном",text
"профессиональном образовании, кадровом",text
"составе муниципальных служащих», ф.3-",text
информ «Сведения об использовании,text
информационных и коммуникационных,text
технологий и производстве вычислительной,text
"техники, программного обеспечения и",text
"оказания услуг в этих сферах», ф.П-4",text
«Сведения о численности и заработной плате,text
работников») за 2021 год,text
ОТДЕЛ СУБСИДИЙ,heading
287 05-16- Отчеты о предоставлении субсидий УСЗН 2021 76,text
05-19 администрации Еткульского,text
муниципального района за 2021 год,text
ОТДЕЛ СЕМЬИ И ДЕТСКИХ ПОСОБИЙ,heading
288 04-23- Отчеты по выплате детских пособий УСЗН 2021 10,text
04-27 администрации Еткульского,text
муниципального района за 2021 год,text
ОТДЕЛ ОПЕКИ И ПОПЕЧИТЕЛЬСТВА,heading
289 06-10 Отчеты по опеке и попечительству УСЗН 2021 17 в т.ч. 103-,text
РИК,text
06-11 администрации Еткульского,text
муниципального района за 2021 год,text
1 2 3 4 5 6,table
ОТДЕЛ ЛЬГОТ,heading
"290 03-37- Отчеты по предоставлению компенсаций, 2021 19 В т.ч. 26-",text
"03-45 льгот, выплате социальных пособий УСЗН ЖКХ",text
администрации Еткульского,text
муниципального района за 2021 год,text
В данный раздел описи внесено 16 (шестнадцать) ед. хр.,text
"с № 275 по № 290, в том числе:",text
литерные номера: ______нет________,text
пропущенные номера: ___нет________,text
Специалист УСЗН администрации,text
Еткульского муниципального района О.Н. Туркова,text
СОГЛАСОВАНО,heading
Протокол ЭК УСЗН администрации,text
Еткульского муниципального района,text
от 11.11.2024 № 3,table
