Архив,Наименование
Архивное управление Администрации города Челябинска,ГОСУДАРСТВЕННАЯ НАЛОГОВАЯ ИНСПЕКЦИЯ ПО ГОРОДУ ЧЕЛЯБИНСКУ
Архивное управление Администрации города Челябинска,ГОСУДАРСТВЕННАЯ НАЛОГОВАЯ ИНСПЕКЦИЯ ПО КАЛИНИНСКОМУ РАЙОНУ ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,ГОСУДАРСТВЕННАЯ НАЛОГОВАЯ ИНСПЕКЦИЯ ПО КУРЧАТОВСКОМУ РАЙОНУ ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,ГОСУДАРСТВЕННАЯ НАЛОГОВАЯ ИНСПЕКЦИЯ ПО ЛЕНИНСКОМУ РАЙОНУ ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,ГОСУДАРСТВЕННАЯ НАЛОГОВАЯ ИНСПЕКЦИЯ ПО МЕТАЛЛУРГИЧЕСКОМУ РАЙОНУ ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,ГОСУДАРСТВЕННАЯ НАЛОГОВАЯ ИНСПЕКЦИЯ ПО СОВЕТСКОМУ РАЙОНУ ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,ГОСУДАРСТВЕННАЯ НАЛОГОВАЯ ИНСПЕКЦИЯ ПО ТРАКТОРОЗАВОДСКОМУ РАЙОНУ ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,ГОСУДАРСТВЕННАЯ НАЛОГОВАЯ ИНСПЕКЦИЯ ПО ЦЕНТРАЛЬНОМУ РАЙОНУ ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ «ОБЛАСТНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № » И ЕГО ПРЕДШЕСТВЕННИКИ
Архивное управление Администрации города Челябинска,ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ «ЦЕНТР ГОСУДАРСТВЕННОГО САНИТАРНОЭПИДЕМИОЛОГИЧЕСКОГО НАДЗОРА В ГОРОДЕ ЧЕЛЯБИНСКЕ»
Архивное управление Администрации города Челябинска,ДОКУМЕНТЫ ПО ВЫБОРАМ ОРГАНОВ ИСПОЛНИТЕЛЬНОЙ И ПРЕДСТАВИТЕЛЬНОЙ ВЛАСТИ ВСЕХ УРОВНЕЙ НА ТЕРРИТОРИИ ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,ЖЕЛЕЗНОДОРОЖНЫЙ РАЙОННЫЙ СОВЕТ ДЕПУТАТОВ ТРУДЯЩИХСЯ ГОРОДА ЧЕЛЯБИНСКА И ЕГО ИСПОЛНИТЕЛЬНЫЙ КОМИТЕТ
Архивное управление Администрации города Челябинска,ЖИЛИЩНОСТРОИТЕЛЬНЫЙ КООПЕРАТИВ «ПРОГРЕСС»
Архивное управление Администрации города Челябинска,ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО «АВТОБАЗА»
Архивное управление Администрации города Челябинска,ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО «ГИДРОСПЕЦСТРОЙ» И ЕГО ПРЕДШЕСТВЕННИКИ
Архивное управление Администрации города Челябинска,ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ГОРОДСКОЙ КОММЕРЧЕСКИЙ ЦЕНТР «ХОЗМЕБЕЛЬСЕРВИС» И ЕГО ПРЕДШЕСТВЕННИКИ
Архивное управление Администрации города Челябинска,ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО «ЗАВОД АВТОКЛАВНОГО ГАЗОБЕТОНА»
Архивное управление Администрации города Челябинска,ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО «ЗАВОД ЖЕЛЕЗОБЕТОННЫХ КОНСТРУКЦИЙ»
Архивное управление Администрации города Челябинска,ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО «ИНСИ»
Архивное управление Администрации города Челябинска,ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО «ПРОКАТСТРОЙ»
Архивное управление Администрации города Челябинска,ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО СТРОИТЕЛЬНАЯ КОМПАНИЯ «МАСШТАБ»
Архивное управление Администрации города Челябинска,ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО «ФЕРРОСТРОЙ»
Архивное управление Администрации города Челябинска,КАЛИНИНСКИЙ РАЙОННЫЙ СОВЕТ НАРОДНЫХ ДЕПУТАТОВ ГОРОДА ЧЕЛЯБИНСКА И ЕГО ИСПОЛНИТЕЛЬНЫЙ КОМИТЕТ
Архивное управление Администрации города Челябинска,КАЛИНИНСКОЕ УПРАВЛЕНИЕ ОБРАЗОВАНИЯ АДМИНИСТРАЦИИ ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,КАЛИНИНСКОЕ УПРАВЛЕНИЕ СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ АДМИНИСТРАЦИИ ГОРОДА ЧЕЛЯБИНСКА И ЕГО ПРЕДШЕСТВЕННИКИ
Архивное управление Администрации города Челябинска,"КОЛЛЕКЦИЯ ДОКУМЕНТОВ ПО ЛИЧНОМУ СОСТАВУ ЛИКВИДИРОВАННЫХ ПРЕДПРИЯТИЙ, ОРГАНИЗАЦИЙ И УЧРЕЖДЕНИЙ ГОРОДА ЧЕЛЯБИНСКА"
Архивное управление Администрации города Челябинска,КОМИТЕТ ГРАДОСТРОИТЕЛЬСТВА И АРХИТЕКТУРЫ ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,КОМИТЕТ ПО ДЕЛАМ ОБРАЗОВАНИЯ ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,КОМИТЕТ ПО ЗЕМЕЛЬНЫМ РЕСУРСАМ И ЗЕМЛЕУСТРОЙСТВУ ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ И ЗЕМЕЛЬНЫМ ОТНОШЕНИЯМ ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,КОМИТЕТ СОЦИАЛЬНОЙ ПОЛИТИКИ ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,КОМИТЕТ ФИНАНСОВ ГОРОДА ЧЕЛЯБИНСКА И ЕГО ПРЕДШЕСТВЕННИКИ
Архивное управление Администрации города Челябинска,КОМИТЕТ ЭКОНОМИКИ ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,КОНТРОЛЬНОСЧЕТНАЯ ПАЛАТА ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,КУРЧАТОВСКИЙ РАЙОННЫЙ СОВЕТ НАРОДНЫХ ДЕПУТАТОВ ГОРОДА ЧЕЛЯБИНСКА И ЕГО ИСПОЛНИТЕЛЬНЫЙ КОМИТЕТ
Архивное управление Администрации города Челябинска,КУРЧАТОВСКИЙ РАСЧЕТНОКАССОВЫЙ ЦЕНТР ГЛАВНОГО УПРАВЛЕНИЯ ЦЕНТРАЛЬНОГО БАНКА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ЧЕЛЯБИНСКОЙ ОБЛАСТИ
Архивное управление Администрации города Челябинска,КУРЧАТОВСКОЕ УПРАВЛЕНИЕ ОБРАЗОВАНИЯ АДМИНИСТРАЦИИ ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,КУРЧАТОВСКОЕ УПРАВЛЕНИЕ СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ АДМИНИСТРАЦИИ ГОРОДА ЧЕЛЯБИНСКА И ЕГО ПРЕДШЕСТВЕННИК
Архивное управление Администрации города Челябинска,ЛЕНИНСКИЙ РАЙОННЫЙ СОВЕТ НАРОДНЫХ ДЕПУТАТОВ ГОРОДА ЧЕЛЯБИНСКА И ЕГО ИСПОЛНИТЕЛЬНЫЙ КОМИТЕТ
Архивное управление Администрации города Челябинска,ЛЕНИНСКОЕ УПРАВЛЕНИЕ ОБРАЗОВАНИЯ АДМИНИСТРАЦИИ ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,ЛЕНИНСКОЕ УПРАВЛЕНИЕ СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ АДМИНИСТРАЦИИ ГОРОДА ЧЕЛЯБИНСКА И ЕГО ПРЕДШЕСТВЕННИКИ
Архивное управление Администрации города Челябинска,ЛИКВИДИРОВАННЫЕ ПРЕДПРИЯТИЯ «ЖИЛТЕХСТРОЙ»
Архивное управление Администрации города Челябинска,ЛИКВИДИРОВАННЫЕ ПРЕДПРИЯТИЯ КАЛИНИНСКОГО РАЙОНА ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,ЛИКВИДИРОВАННЫЕ ПРЕДПРИЯТИЯ КУРЧАТОВСКОГО РАЙОНА ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,ЛИКВИДИРОВАННЫЕ ПРЕДПРИЯТИЯ ЛЕНИНСКОГО РАЙОНА ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,ЛИКВИДИРОВАННЫЕ ПРЕДПРИЯТИЯ МЕТАЛЛУРГИЧЕСКОГО РАЙОНА ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,ЛИКВИДИРОВАННЫЕ ПРЕДПРИЯТИЯ ОБЩЕСТВЕННОГО ПИТАНИЯ ТРАКТОРОЗАВОДСКОГО РАЙОНА ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,ЛИКВИДИРОВАННЫЕ ПРЕДПРИЯТИЯ ПО ЗАГОТОВКЕ И ПЕРЕРАБОТКЕ ВТОРИЧНОГО СЫРЬЯ
Архивное управление Администрации города Челябинска,ЛИКВИДИРОВАННЫЕ ПРЕДПРИЯТИЯ СОВЕТСКОГО РАЙОНА ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,ЛИКВИДИРОВАННЫЕ ПРЕДПРИЯТИЯ ТРАКТОРОЗАВОДСКОГО РАЙОНА ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,ЛИКВИДИРОВАННЫЕ ПРЕДПРИЯТИЯ ЦЕНТРАЛЬНОГО РАЙОНА ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,ЛИКВИДИРОВАННЫЕ СПОРТИВНЫЕ ОРГАНИЗАЦИИ ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,МЕТАЛЛУРГИЧЕСКИЙ РАЙОННЫЙ СОВЕТ НАРОДНЫХ ДЕПУТАТОВ ГОРОДА ЧЕЛЯБИНСКА И ЕГО ИСПОЛНИТЕЛЬНЫЙ КОМИТЕТ
Архивное управление Администрации города Челябинска,МЕТАЛЛУРГИЧЕСКОЕ УПРАВЛЕНИЕ ОБРАЗОВАНИЯ АДМИНИСТРАЦИИ ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,МЕТАЛЛУРГИЧЕСКОЕ УПРАВЛЕНИЕ СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ АДМИНИСТРАЦИИ ГОРОДА ЧЕЛЯБИНСКА И ЕГО ПРЕДШЕСТВЕННИК
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ «ДВОРЕЦ ПИОНЕРОВ И ШКОЛЬНИКОВ ИМ. Н.К. КРУПСКОЙ Г. ЧЕЛЯБИНСКА» И ЕГО ПРЕДШЕСТВЕННИК
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ОРДЕНА ТРУДОВОГО КРАСНОГО ЗНАМЕНИ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА №
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ «КОМБИНАТ ПРОДОВОЛЬСТВИЯ И СОЦИАЛЬНОГО ПИТАНИЯ»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ «МНОГОФУНКЦИОНАЛЬНЫЙ ЦЕНТР ПО ПРЕДОСТАВЛЕНИЮ ГОСУДАРСТВЕННЫХ И МУНИЦИПАЛЬНЫХ УСЛУГ ГОРОДА ЧЕЛЯБИНСКА»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ «ГИМНАЗИЯ № Г. ЧЕЛЯБИНСКА»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ «СПЕЦИАЛЬНАЯ (КОРРЕКЦИОННАЯ) ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛАИНТЕРНАТ ДЛЯ ОБУЧАЮЩИХСЯ И ВОСПИТАННИКОВ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ ЗДОРОВЬЯ (НАРУШЕНИЕ ОПОРНОДВИГАТЕЛЬНОГО АППАРАТА) № Г. ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ «ЗООПАРК»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ «ЦЕНТР ИСТОРИКОКУЛЬТУРНОГО НАСЛЕДИЯ Г. ЧЕЛЯБИНСКА»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДСКОЙ ЦЕНТР МЕДИЦИНСКОЙ ПРОФИЛАКТИКИ
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ «ЖИЛИЩНИК»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ОБЩЕСТВЕННОГО ПИТАНИЯ «КОМБИНАТ ШКОЛЬНОГО ПИТАНИЯ»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ «ТРАКТОРОЗАВОДСКОЕ»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «АВТОХОЗЯЙСТВО»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «АЛЬФА»
Архивное управление Администрации города Челябинска,"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «АПТЕКА № », ЕГО ПРЕДШЕСТВЕННИКИ И ПОДВЕДОМСТВЕННЫЕ ОРГАНИЗАЦИИ"
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «АПТЕКА № »
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «ГОРЗЕЛЕНСТРОЙ» И ЕГО ПРЕДШЕСТВЕННИКИ
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «ГОРСВЕТ»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «ДИРЕКЦИЯ ЕДИНОГО ЗАКАЗЧИКА КАЛИНИНСКОГО РАЙОНА ГОРОДА ЧЕЛЯБИНСКА»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «ДОРОЖНОЕ РЕМОНТНОЕ УПРАВЛЕНИЕ»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «ДОРОЖНОЕ РЕМОНТНОСТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ» И ЕГО ПРЕДШЕСТВЕННИКИ
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «КОМБИНАТ ДЕТСКОГО И ЛЕЧЕБНОГО ПИТАНИЯ» МЕТАЛЛУРГИЧЕСКОГО РАЙОНА
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «КОМБИНАТ ПИТАНИЯ № »
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «КОММЕТ»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «ЛИНЕЙНОЕ ЭКСПЛУАТАЦИОННОРЕМОНТНОЕ УПРАВЛЕНИЕ» г. Челябинск Челябинской области .
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «ЛИФТ» И ЕГО ПРЕДШЕСТВЕННИКИ
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «МНОГООТРАСЛЕВОЕ ЖИЛИЩНОКОММУНАЛЬНОЕ ОБЪЕДИНЕНИЕ»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «МНОГООТРАСЛЕВОЕ ЖИЛИЩНОКОММУНАЛЬНОЕ ОБЪЕДИНЕНИЕ «СТАНКОСТРОЙ»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ МНОГООТРАСЛЕВОЕ ЖИЛИЩНОКОММУНАЛЬНОЕ ОБЪЕДИНЕНИЕ «ТРУБОПРОКАТЧИК»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ПО ОКАЗАНИЮ ЖИЛИЩНОКОММУНАЛЬНЫХ УСЛУГ «РЕМЖИЛЗАКАЗЧИК» АДМИНИСТРАЦИИ ГОРОДА ЧЕЛЯБИНСКА И ПОДВЕДОМСТВЕННОЕ ПРЕДПРИЯТИЕ
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ПО ЭКСПЛУАТАЦИИ И РЕМОНТУ ЖИЛИЩНОГО ФОНДА ЛЕНИНСКОГО РАЙОНА Г. ЧЕЛЯБИНСКА И ПОДВЕДОМСТВЕННЫЕ ОРГАНИЗАЦИИ
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ПО ЭКСПЛУАТАЦИИ И РЕМОНТУ ЖИЛИЩНОГО ФОНДА ТРАКТОРОЗАВОДСКОГО РАЙОНА Г. ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ПО ЭКСПЛУАТАЦИИ И РЕМОНТУ ЖИЛИЩНОГО ФОНДА ЦЕНТРАЛЬНОГО РАЙОНА Г. ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «ПРОИЗВОДСТВЕННОЕ АВТОТРАНСПОРТНОЕ ПРЕДПРИЯТИЕ ЖИЛИЩНОКОММУНАЛЬНОГО ХОЗЯЙСТВА» г. Челябинск Челябинской области .
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «ПРОИЗВОДСТВЕННОЕ ЖИЛИЩНОЕ РЕМОНТНОЭКСПЛУАТАЦИОННОЕ ОБЪЕДИНЕНИЕ КАЛИНИНСКОГО РАЙОНА»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «ПРОИЗВОДСТВЕННОЕ ЖИЛИЩНОЕ РЕМОНТНОЭКСПЛУАТАЦИОННОЕ ОБЪЕДИНЕНИЕ КУРЧАТОВСКОГО РАЙОНА» И ЕГО ПРЕДШЕСТВЕННИКИ
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «ПРОИЗВОДСТВЕННОЕ ЖИЛИЩНОЕ РЕМОНТНОЭКСПЛУАТАЦИОННОЕ УПРАВЛЕНИЕ СОВЕТСКОГО РАЙОНА»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «РЕМЖИЛЗАКАЗЧИК» ПО ЖИЛИЩНОКОММУНАЛЬНЫМ УСЛУГАМ МЕТАЛЛУРГИЧЕСКОГО РАЙОНА Г. ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «РЕМОНТНОЭКСПЛУАТАЦИОННОЕ ПРЕДПРИЯТИЕ «ЭЛЕКТРОМЕТАЛЛУРГ»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «СПЕЦИАЛИЗИРОВАННОЕ АВАРИЙНОВОССТАНОВИТЕЛЬНОЕ УПРАВЛЕНИЕ»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «УПРАВЛЕНИЕ БЛАГОУСТРОЙСТВА»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «УПРАВЛЕНИЕ МУНИЦИПАЛЬНЫМИ ОБЩЕЖИТИЯМИ Г. ЧЕЛЯБИНСКА»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ УПРАВЛЕНИЕ СТРОИТЕЛЬСТВА МЕТРОПОЛИТЕНА И ТРАНСПОРТНЫХ СООРУЖЕНИЙ «ЧЕЛЯБМЕТРОТРАНССТРОЙ»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «ФИРМА «ЧЕЛЯБСТРОЙЗАКАЗЧИК»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «ЦЕНТР ПО ПРИВАТИЗАЦИИ ЖИЛЬЯ» И ЕГО ПРЕДШЕСТВЕННИК
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «ЧЕЛЯБАВТОМЕДТРАНС»
Архивное управление Администрации города Челябинска,МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «ЧЕЛЯБГОРТРАНС» И ЕГО ФИЛИАЛЫ г. Челябинск Челябинской области .
