Архив,Наименование
Архивный отдел администрации Карабашского городского округа г. Карабаш,"Муниципальное казенное учреждение ""Управление культуры Карабашского городского округа"" г. Карабаш"
Архивный отдел администрации Карабашского городского округа г. Карабаш,"Муниципальное казенное образовательное учреждение дополнительного образования детей ""Детская школа искусств Карабашского городского округа"" г. Карабаш"
Архивный отдел администрации Карабашского городского округа г. Карабаш,Муниципальное казенное учреждение «Спортивный клуб Карабашского городского округа» г. Карабаш
Архивный отдел администрации Карабашского городского округа г. Карабаш,Управление социальной защиты населения администрации Карабашского городского округа г. Карабаш
Архивный отдел администрации Карабашского городского округа г. Карабаш,Муниципальное учреждение «Комплексный центр социального обслуживания населения Карабашского городского округа» г. Карабаш
Архивный отдел администрации Карабашского городского округа г. Карабаш,Автономная некоммерческая организация «Редакция газеты «Карабашский рабочий» г. Карабаша
Архивный отдел администрации Карабашского городского округа г. Карабаш,"Общественная организация ветеранов (пенсионеров) войны, труда, вооруженных сил и правоохранительных органов Карабашского городского округа Челябинской области г. Карабаш"
Архивный отдел администрации Карабашского городского округа г. Карабаш,Местная общественная организация инвалидов Карабашского городского округа Челябинской областной общественной организации общероссийской общественной организации «Всероссийское общество инвалидов» (МООИ КГО ЧООО ВОИ) г. Карабаш
Архивный отдел администрации Карталинского муниципального района,"Челябинское областное бюджетное учреждение ""Карталинский лесхоз"" с. Анненское Карталинского района"
Архивный отдел администрации Карталинского муниципального района,Областное казенное учреждение Центр занятости населения г. Карталы
Архивный отдел администрации Карталинского муниципального района,"Государственное бюджетное учреждение здравоохранения ""Карталинская районная больница"
Архивный отдел администрации Карталинского муниципального района,Собрание депутатов Карталинского муниципального района г. Карталы
Архивный отдел администрации Карталинского муниципального района,Совет депутатов Анненского сельского поселения с. Анненское Карталинского района
Архивный отдел администрации Карталинского муниципального района,Совет депутатов Варшавского сельского поселения п. Варшавка Карталинского района
Архивный отдел администрации Карталинского муниципального района,Совет депутатов Великопетровского сельского поселения с. Великопетровка Карталинского района
Архивный отдел администрации Карталинского муниципального района,Совет депутатов Еленинского сельского поселения с. Еленинка Карталинского района
Архивный отдел администрации Карталинского муниципального района,Совет депутатов Карталинского городского поселения г. Карталы Карталинского района
Архивный отдел администрации Карталинского муниципального района,Совет депутатов Мичуринского сельского поселения п. Мичуринский Карталинского района
Архивный отдел администрации Карталинского муниципального района,Совет депутатов Неплюевского сельского поселения с. Неплюевка Карталинского района
Архивный отдел администрации Карталинского муниципального района,Совет депутатов Полтавского сельского поселения п. Центральный Карталинского района
Архивный отдел администрации Карталинского муниципального района,Совет депутатов Снежненского сельского поселения п. Снежный Карталинского района
Архивный отдел администрации Карталинского муниципального района,Совет депутатов Сухореченского сельского поселения п. Сухореченский Карталинского района
Архивный отдел администрации Карталинского муниципального района,Совет депутатов Южно-Степного сельского поселения п. Южно-Степной Карталинского района
Архивный отдел администрации Карталинского муниципального района,Администрация Карталинского муниципального района г. Карталы
Архивный отдел администрации Карталинского муниципального района,Администрация Анненского сельского поселения с. Анненское Карталинского района
Архивный отдел администрации Карталинского муниципального района,Администрация Варшавского сельского поселения п. Варшавка Карталинского района
Архивный отдел администрации Карталинского муниципального района,Администрация Великопетровского сельского поселения с. Великопетровка Карталинского района
Архивный отдел администрации Карталинского муниципального района,Администрация Еленинского сельского поселения с. Еленинка Карталинского района
Архивный отдел администрации Карталинского муниципального района,Администрация Карталинского городского поселения г. Карталы Карталинского района
Архивный отдел администрации Карталинского муниципального района,Администрация Мичуринского сельского поселения п. Мичуринский Карталинского района
Архивный отдел администрации Карталинского муниципального района,Администрация Неплюевского сельского поселения с. Неплюевка Карталинского района
Архивный отдел администрации Карталинского муниципального района,Администрация Полтавского сельского поселения п. Центральный Карталинского района
Архивный отдел администрации Карталинского муниципального района,Администрация Снежненского сельского поселения п. Снежный Карталинского района
Архивный отдел администрации Карталинского муниципального района,Администрация Сухореченского сельского поселения п. Сухореченский Карталинского района
Архивный отдел администрации Карталинского муниципального района,Администрация Южно-Степного сельского поселения п.Южно-Степной Карталинского района
Архивный отдел администрации Карталинского муниципального района,Контрольно-счетная палата Карталинского муниципального района г. Карталы
Архивный отдел администрации Карталинского муниципального района,Финансовое управление Карталинского муниципального района г. Карталы
Архивный отдел администрации Карталинского муниципального района,Отдел экономики администрации Карталинского муниципального района
Архивный отдел администрации Карталинского муниципального района,Управление по имущественной и земельной политике Карталинского муниципального района г. Карталы
Архивный отдел администрации Карталинского муниципального района,Управление образования Карталинского муниципального района г. Карталы
Архивный отдел администрации Карталинского муниципального района,Управление по делам культуры и спорта Карталинского муниципального района г. Карталы
Архивный отдел администрации Карталинского муниципального района,Управление социальной защиты населения Карталинского муниципального района г. Карталы
Архивный отдел администрации Карталинского муниципального района,Автономная некоммерческая организация «Редакция газеты «Карталинская новь» г. Карталы
Архивный отдел администрации Каслинского муниципального района,"Областное казенное учреждение ""Центр занятости населения города Касли"" г. Касли"
Архивный отдел администрации Каслинского муниципального района,"Государственное бюджетное учреждение здравоохранения ""Районная больница г. Касли"
Архивный отдел администрации Каслинского муниципального района,Собрание депутатов Каслинского муниципального района г. Касли
Архивный отдел администрации Каслинского муниципального района,Совет депутатов Багарякского сельского поселения с. Багаряк Каслинского района
Архивный отдел администрации Каслинского муниципального района,Совет депутатов Берегового сельского поселения п. Береговой Каслинского района
Архивный отдел администрации Каслинского муниципального района,Совет депутатов Булзинского сельского поселения с. Булзи Каслинского района
Архивный отдел администрации Каслинского муниципального района,Совет депутатов Вишневогорского городского поселения пгт Вишневогорск Каслинского района
Архивный отдел администрации Каслинского муниципального района,Совет депутатов Воздвиженского сельского поселения п. Воздвиженка Каслинского района
Архивный отдел администрации Каслинского муниципального района,Совет депутатов Григорьевского сельского поселения д. Григорьевка Каслинского района
Архивный отдел администрации Каслинского муниципального района,Совет депутатов Каслинского городского поселения г. Касли
Архивный отдел администрации Каслинского муниципального района,Совет депутатов Маукского сельского поселения п. Маук Каслинского района
Архивный отдел администрации Каслинского муниципального района,Совет депутатов Огневского сельского поселения с. Огневское Каслинского района
Архивный отдел администрации Каслинского муниципального района,Совет депутатов Тюбукского сельского поселения с. Тюбук Каслинского района
Архивный отдел администрации Каслинского муниципального района,Совет депутатов Шабуровского сельского поселения с. Шабурово Каслинского района
Архивный отдел администрации Каслинского муниципального района,Администрация Каслинского муниципального района г. Касли
Архивный отдел администрации Каслинского муниципального района,Администрация Багарякского сельского поселения с. Багаряк Каслинского района
Архивный отдел администрации Каслинского муниципального района,Администрация Берегового сельского поселения п. Береговой Каслинского района
Архивный отдел администрации Каслинского муниципального района,Администрация Булзинского сельского поселения с. Булзи Каслинского района
Архивный отдел администрации Каслинского муниципального района,Администрация Вишневогорского городского поселения пгт Вишневогорск Каслинского района
Архивный отдел администрации Каслинского муниципального района,Администрация Воздвиженского сельского поселения п. Воздвиженка Каслинского района
Архивный отдел администрации Каслинского муниципального района,Администрация Григорьевского сельского поселения д. Григорьевка Каслинского района
Архивный отдел администрации Каслинского муниципального района,Администрация Каслинского городского сельского поселения г. Касли
Архивный отдел администрации Каслинского муниципального района,Администрация Маукского сельского поселения п. Маук Каслинского района
Архивный отдел администрации Каслинского муниципального района,Администрация Огневского сельского поселения с. Огневское Каслинского района
Архивный отдел администрации Каслинского муниципального района,Администрация Тюбукского сельского поселения с. Тюбук Каслинского района
Архивный отдел администрации Каслинского муниципального района,Администрация Шабуровского сельского поселения с. Шабурово Каслинского района
Архивный отдел администрации Каслинского муниципального района,Контрольно-счетная палата Каслинского муниципального района г. Касли
Архивный отдел администрации Каслинского муниципального района,Финансовое управление администрации Каслинского муниципального района г. Касли
Архивный отдел администрации Каслинского муниципального района,Комитет по управлению имуществом и земельным отношениям администрации Каслинского муниципального района г. Касли
Архивный отдел администрации Каслинского муниципального района,Управление строительства и инфраструктуры администрации Каслинского муниципального района г. Касли
Архивный отдел администрации Каслинского муниципального района,Управление образования администрации Каслинского муниципального района г. Касли
Архивный отдел администрации Каслинского муниципального района,Управление по делам культуры и спорта администрации Каслинского муниципального района
Архивный отдел администрации Каслинского муниципального района,Управление социальной защиты населения администрации Каслинского муниципального района г. Касли
Архивный отдел администрации Каслинского муниципального района,Автономная некоммерческая организация «Редакция газеты «Красное знамя» г. Касли
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Областное казенное учреждение Центр занятости населения города Катав-Ивановска
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Государственное бюджетное учреждение здравоохранения «Районная больница г. Катав-Ивановска»
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Собрание депутатов Катав-Ивановского муниципального района г. Катав-Ивановск
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Совет депутатов Бедярышского сельского поселения с.Бедярыш Катав-Ивановского района
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Совет депутатов Верх-Катавского сельского поселения с. Верх-Катавка Катав-Ивановского района
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Совет депутатов Катав-Ивановского городского поселения г. Катав-Ивановск Катав-Ивановского района
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Совет депутатов Лесного сельского поселения п. Совхозный Катав-Ивановского района
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Совет депутатов Месединского сельского поселения с. Меседа Катав-Ивановского района
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Совет депутатов Орловского сельского поселения с. Орловка Катав-Ивановского района
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Совет депутатов Серпиевского сельского поселения с. Серпиевка Катав-Ивановского района
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Совет депутатов Тюлюкского сельского поселения с. Тюлюк Катав-Ивановского района
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Совет депутатов Юрюзанского городского поселения г. Юрюзань Катав-Ивановского района
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Администрация Катав-Ивановского муниципального района г. Катав-Ивановск
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Администрация Бедярышского сельского поселения с.Бедярыш Катав-Ивановского района
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Администрация Верх-Катавского сельского поселения с. Верх-Катавка Катав-Ивановского района
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Администрация Катав-Ивановского городского поселения г. Катав-Ивановск Катав-Ивановского района
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Администрация Лесного сельского поселения п. Совхозный Катав-Ивановского района
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Администрация Месединского сельского поселения с. Меседа Катав-Ивановского района
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Администрация Орловского сельского поселения с. Орловка Катав-Ивановского района
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Администрация Серпиевского сельского поселения с. Серпиевка Катав-Ивановского района
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Администрация Тюлюкского сельского поселения с. Тюлюк Катав-Ивановского района
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Администрация Юрюзанского городского поселения г. Юрюзань Катав-Ивановского района
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Контрольно-счетная палата Катав-Ивановского муниципального района г. Катав-Ивановск
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Финансовое управление администрации Катав-Ивановского муниципального района г. Катав-Ивановск
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Отдел экономики администрации Катав-Ивановского муниципального района г. Катав-Ивановск
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Комитет имущественных отношений администрации Катав-Ивановского муниципального района г. Катав-Ивановск
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Отдел архитектуры и градостроительства администрации Катав-Ивановского муниципального района г. Катав-Ивановск
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Управление образования администрации Катав-Ивановского муниципального района г. Катав-Ивановск
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Управление культуры администрации Катав-Ивановского муниципального района г. Катав-Ивановск
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Управление социальной защиты населения администрации Катав-Ивановского муниципального района г. Катав-Ивановск
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Автономная некоммерческая организация «Редакция «Авангард» г. Катав-Ивановск
Архивный отдел администрации Катав-Ивановского муниципального района г. Катав-Ивановск,Общественная палата Катав-Ивановского муниципального района г. Катав-Ивановск
Архивный отдел администрации Кизильского муниципального района,Областное казенное учреждение Центр занятости населения Кизильского района с. Кизильское
Архивный отдел администрации Кизильского муниципального района,"Государственное бюджетное учреждение здравоохранения ""Районная больница с. Кизильское"
Архивный отдел администрации Кизильского муниципального района,Собрание депутатов Кизильского муниципального района с. Кизильское
Архивный отдел администрации Кизильского муниципального района,Совет депутатов Богдановского сельского поселения  Кизильского муниципального района с. Богдановское
Архивный отдел администрации Кизильского муниципального района,Совет депутатов Гранитного сельского поселения Кизильского муниципального района п. Гранитный
Архивный отдел администрации Кизильского муниципального района,Совет депутатов Зингейского сельского поселения  Кизильского муниципального района  п. Зингейский
Архивный отдел администрации Кизильского муниципального района,Совет депутатов Измайловского сельского поселения  Кизильского муниципального района  п. Измайловский
Архивный отдел администрации Кизильского муниципального района,Совет депутатов Карабулакского сельского поселения  Кизильского муниципального района  п. Карабулак
Архивный отдел администрации Кизильского муниципального района,Совет депутатов Кацбахского сельского поселения  Кизильского муниципального района  п . Кацбахский
Архивный отдел администрации Кизильского муниципального района,Совет депутатов Кизильского сельского поселения  Кизильского муниципального района  с. Кизильское
Архивный отдел администрации Кизильского муниципального района,Совет депутатов  Новоершовского сельского поселения  Кизильского муниципального района  п. Новоершовский
Архивный отдел администрации Кизильского муниципального района,Совет депутатов Новопокровского сельского поселения  Кизильского муниципального района  п. Новопокровский
Архивный отдел администрации Кизильского муниципального района,Совет депутатов Обручевского сельского поселения  Кизильского муниципального района  п. Обручевский
Архивный отдел администрации Кизильского муниципального района,Совет депутатов Полоцкого сельского поселения  Кизильского муниципального района  с. Полоцкое
Архивный отдел администрации Кизильского муниципального района,Совет депутатов сельского поселения  Путь Октября Кизильского муниципального района  п. Путь Октября
Архивный отдел администрации Кизильского муниципального района,Совет депутатов Сыртинского сельского поселения  Кизильского муниципального района п. Сыртинский
Архивный отдел администрации Кизильского муниципального района,Совет депутатов Уральского сельского поселения Кизильского муниципального района п. Урал
Архивный отдел администрации Кизильского муниципального района,Администрация Кизильского муниципального района с. Кизильское
Архивный отдел администрации Кизильского муниципального района,Администрация Богдановского сельского поселения с. Богдановское Кизильского района
Архивный отдел администрации Кизильского муниципального района,Администрация Гранитного сельского поселения Кизильского района п. Гранитный
Архивный отдел администрации Кизильского муниципального района,Администрация Зингейского сельского поселения п. Зингейский Кизильского района
Архивный отдел администрации Кизильского муниципального района,Администрация Измайловского сельского поселения п. Измайловский Кизильского района
Архивный отдел администрации Кизильского муниципального района,Администрация Карабулакского сельского поселения п. Карабулак Кизильского района
Архивный отдел администрации Кизильского муниципального района,Администрация Кацбахского сельского поселения п. Кацбахский Кизильского района
Архивный отдел администрации Кизильского муниципального района,Администрация Кизильского сельского поселения с. Кизильское Кизильского района
Архивный отдел администрации Кизильского муниципального района,Администрация Новоершовского сельского поселения п. Новоершовский Кизильского района
Архивный отдел администрации Кизильского муниципального района,Администрация Новопокровского сельского поселения п. Новопокровский Кизильского района
Архивный отдел администрации Кизильского муниципального района,Администрация Обручевского сельского поселения с. Обручевка Кизильского района
Архивный отдел администрации Кизильского муниципального района,Администрация Полоцкого сельского поселения с. Полоцкое Кизильского района
Архивный отдел администрации Кизильского муниципального района,Администрация сельского поселения Путь Октября п. Путь Октября Кизильского района
Архивный отдел администрации Кизильского муниципального района,Администрация Сыртинского сельского поселения п. Сыртинский Кизильского района
Архивный отдел администрации Кизильского муниципального района,Администрация Уральского сельского поселения п. Урал Кизильского района
Архивный отдел администрации Кизильского муниципального района,Орган местного самоуправления Контрольно-счетная палата Кизильского муниципального района с. Кизильское
Архивный отдел администрации Кизильского муниципального района,Финансовое управление Кизильского муниципального района с. Кизильское
Архивный отдел администрации Кизильского муниципального района,Управление по имуществу и земельным отношениям Кизильского муниципального района с. Кизильское
Архивный отдел администрации Кизильского муниципального района,Комитет экономики администрации Кизильского муниципального района с. Кизильское
Архивный отдел администрации Кизильского муниципального района,Муниципальное казенное учреждение «Районное управление сельского хозяйства и продовольствия» администрации Кизильского района с. Кизильское
Архивный отдел администрации Кизильского муниципального района,Отдел архитектуры и строительства администрации Кизильского муниципального района
Архивный отдел администрации Кизильского муниципального района,Муниципальное учреждение Кизильский районный отдел образования администрации с. Кизильское
Архивный отдел администрации Кизильского муниципального района,Муниципальное учреждение «Отдел культуры администрации Кизильского района» с. Кизильское
Архивный отдел администрации Кизильского муниципального района,Управление социальной защиты населения администрации Кизильского муниципального района с. Кизильское
Архивный отдел администрации Кизильского муниципального района,Автономная некоммерческая организация «Редакция газеты «Кизильский вестник» с. Кизильское
Архивный отдел администрации Копейского городского округа г. Копейск,"Государственное бюджетное профессиональное образовательное учреждение ""Копейский медицинский техникум"" г. Копейск"
Архивный отдел администрации Копейского городского округа г. Копейск,"Государственное бюджетное профессиональное образовательное учреждение ""Копейский политехнический колледж им. С.В. Хохрякова"" г. Копейск"
